,price,propertyType,size,exterior,rooms,bathrooms,municipality,latitude,longitude,showAddress,distance,hasVideo,status,hasPlan,has3DTour,has360,floor,hasLift
112,650.0,studio,40.0,False,0,1,Madrid,40.4623825,-3.7067882,False,5088,False,good,False,False,False,en,True
113,700.0,flat,40.0,True,1,1,Madrid,40.408986,-3.7381489,False,3076,False,good,False,False,False,bj,False
114,730.0,flat,51.0,True,2,1,Madrid,40.3566848,-3.6899208,False,6767,True,good,True,False,True,4,False
115,750.0,flat,50.0,True,2,1,Madrid,40.3782048,-3.618842,False,8331,True,good,True,False,True,3,False
116,680.0,flat,56.0,True,2,1,Torrejón de Ardoz,40.4626558,-3.4833464,False,19298,True,good,True,False,True,3,False
117,710.0,flat,78.0,True,3,1,Parla,40.229689,-3.7729819,False,21617,True,good,True,False,True,4,False
118,720.0,flat,47.0,True,2,1,Madrid,40.4264208,-3.6204865,False,7088,True,good,True,False,True,1,False
119,750.0,studio,43.0,True,0,1,Madrid,40.4646408,-3.7015475,False,5332,False,good,False,False,False,desconocido,True
120,695.0,studio,40.0,True,0,1,Madrid,40.4740632,-3.5779,False,12376,False,good,False,False,False,desconocido,True
121,630.0,flat,54.0,True,1,2,El Álamo,40.2326293,-4.000047,False,32432,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
122,750.0,flat,90.0,True,3,1,Algete,40.5996508,-3.5041753,False,26401,False,good,False,False,False,desconocido,True
123,730.0,flat,50.0,True,1,1,Madrid,40.3709629,-3.6196403,False,8717,False,good,False,False,False,2,True
124,600.0,flat,90.0,True,3,1,Valdemoro,40.1913355,-3.6737843,False,25182,False,good,False,False,False,desconocido,True
125,650.0,studio,45.0,True,0,1,Madrid,40.4245432,-3.6372252,True,5656,False,good,False,False,False,bj,True
126,750.0,flat,38.0,False,1,1,Madrid,40.4130841,-3.700354,True,470,True,good,False,False,False,bj,True
127,730.0,flat,50.0,True,1,1,Rivas-Vaciamadrid,40.3507361,-3.5299169,False,16410,False,good,False,False,False,desconocido,True
128,735.0,studio,30.0,True,0,1,Madrid,40.5147334,-3.6734076,True,11188,False,good,False,False,True,2,True
129,610.0,flat,72.0,False,1,1,Pinto,40.2409218,-3.7024263,False,19544,True,good,True,False,True,bj,True
130,580.0,chalet,54.0,False,3,2,Los Santos de la Humosa,40.5008373,-3.255075,False,39053,False,good,False,False,False,desconocido,desconocido
131,725.0,flat,50.0,True,1,1,Villanueva del Pardillo,40.4907977,-3.9669988,True,23787,False,good,True,False,False,en,False
132,750.0,flat,48.0,True,1,1,Madrid,40.3827657,-3.7435256,False,5085,True,good,True,False,False,1,False
133,750.0,flat,70.0,True,3,1,Alcalá de Henares,40.4866178,-3.3649445,False,29660,True,good,True,False,False,2,False
134,750.0,flat,49.0,True,1,1,Madrid,40.4798862,-3.6474341,True,8465,True,good,True,False,False,7,True
135,730.0,flat,60.0,True,3,1,Parla,40.2350913,-3.7690298,False,20948,True,good,True,False,True,3,False
136,560.0,flat,26.0,False,1,1,Madrid,40.4115798,-3.7001991,False,625,True,good,True,False,True,bj,False
137,700.0,studio,23.0,True,0,1,Madrid,40.4257458,-3.7124453,True,1271,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
138,750.0,flat,80.0,True,3,1,San Fernando de Henares,40.4193191,-3.5261909,True,14991,False,good,False,False,False,2,True
139,730.0,flat,70.0,True,3,1,Pinto,40.2481518,-3.6887516,False,18781,True,good,True,False,True,3,False
140,730.0,flat,52.0,True,2,1,Madrid,40.406043,-3.599925,False,8827,True,good,True,False,True,4,False
141,740.0,flat,64.0,True,2,1,Madrid,40.3419943,-3.7149759,False,8365,True,good,True,False,True,3,False
142,720.0,flat,65.0,True,2,1,Madrid,40.3497973,-3.6909853,False,7511,True,good,True,False,True,2,False
143,720.0,flat,63.0,True,2,1,Torrejón de Ardoz,40.4601152,-3.477174,False,19731,True,good,True,False,True,2,False
144,740.0,flat,54.0,True,2,1,Madrid,40.3577435,-3.6910449,False,6636,True,good,True,False,True,1,True
145,720.0,flat,52.0,True,2,1,Getafe,40.3051933,-3.7355007,False,12695,True,good,True,False,True,3,False
146,730.0,flat,45.0,True,2,1,Madrid,40.3865497,-3.669867,False,4385,True,good,True,False,True,3,False
147,600.0,duplex,80.0,False,1,1,Madrid,40.4811948,-3.7135583,False,7223,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
148,600.0,duplex,80.0,False,1,1,Madrid,40.4806948,-3.7104583,False,7141,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
149,725.0,duplex,71.0,True,2,1,Cobeña,40.5654436,-3.5115527,False,23158,False,good,False,False,False,1,False
150,675.0,flat,76.0,True,3,1,Aldea del Fresno,40.3242709,-4.2020467,False,43485,True,good,True,False,True,2,False
151,750.0,flat,54.0,True,1,1,San Sebastián de los Reyes,40.5465444,-3.626349,True,15834,False,good,False,False,False,3,True
152,750.0,duplex,79.0,True,2,2,Collado Villalba,40.6305255,-4.0022515,False,34697,False,good,False,False,False,1,False
153,700.0,flat,54.0,True,1,1,Madrid,40.3865719,-3.701155,False,3354,False,good,False,False,False,2,True
154,750.0,flat,54.0,True,2,1,Madrid,40.3418891,-3.706374,False,8322,True,good,True,False,True,3,False
155,730.0,flat,48.0,True,2,1,Madrid,40.4258749,-3.6214713,False,6997,True,good,True,False,True,3,False
156,650.0,flat,61.0,True,2,1,Alcalá de Henares,40.4744046,-3.3738116,False,28605,True,good,True,False,True,4,False
157,730.0,flat,63.0,True,2,1,Madrid,40.3457921,-3.7078778,False,7893,True,good,True,False,True,1,False
158,720.0,flat,50.0,True,2,1,Madrid,40.4285359,-3.6215247,False,7041,True,good,True,False,True,2,False
159,720.0,flat,51.0,True,2,1,Madrid,40.4282526,-3.6222803,False,6973,True,good,True,False,True,1,False
160,750.0,flat,47.0,True,2,1,Madrid,40.3864987,-3.6671855,False,4538,True,good,True,False,True,1,False
161,730.0,flat,50.0,True,2,1,Madrid,40.3518257,-3.6831326,False,7411,True,good,True,False,True,3,False
162,730.0,flat,40.0,True,2,1,Madrid,40.3877843,-3.671312,False,4201,True,good,True,False,True,2,False
163,670.0,flat,67.0,True,2,1,Valdemoro,40.19213,-3.67304,False,25100,True,good,True,False,True,1,True
164,740.0,flat,52.0,True,2,1,Madrid,40.3834771,-3.665903,False,4862,True,good,True,False,True,3,False
165,720.0,flat,69.0,True,2,1,Alcalá de Henares,40.4890164,-3.3728895,False,29084,True,good,True,False,True,1,True
166,750.0,flat,59.0,True,2,1,Madrid,40.3411511,-3.7043589,False,8400,True,good,True,False,True,4,False
